,T_outdoor,T_room,Q_solar,Q_internal,Q_hvac_cool,Q_hvac_heat,Q_hvac,Q_ghi,Q_load,Timestamp
0.0,12.083333333333332,27.03575038816204,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:01:00
1.0,12.166666666666666,27.04499431726694,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:02:00
2.0,12.25,27.054953591479332,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:03:00
3.0,12.333333333333332,27.063583234656853,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:04:00
4.0,12.416666666666666,27.07051209960408,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:05:00
5.0,12.5,27.075992582004936,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:06:00
6.0,12.583333333333332,27.080344694350714,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:07:00
7.0,12.666666666666668,27.08380175599442,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:08:00
8.0,12.75,27.086513222982315,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:09:00
9.0,12.833333333333332,27.088581550591808,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:10:00
10.0,12.916666666666668,27.0900874975232,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:11:00
11.0,13.000000000000002,27.091100824013743,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:12:00
12.0,13.083333333333334,27.091683513721996,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:13:00
13.0,13.166666666666666,27.091890991319232,0.0,0.9325884007271725,0.0,0.0,0.0,0.0,0.9325884007271725, 08/15  00:14:00
